"Storage","Water level (mAHD)","Water depth (m)","Volume (ML)","Capacity (ML)","Volume (%)","Reported date"
"Upper Cascade","975","22","1,661","1,791","92.7","2021-11-25"
"Carcoar","847","30","34,651","35,917","96.5","2021-11-24"
"Lake Menindee","60","4","638,690","568,628","112.3","2021-11-24"
"Lower Cascade","926","19","305","305","99.9","2021-11-25"
"Gunidgera Weir","191","5","2,405","1,750","137.4","2021-11-24"
"Mangrove Creek","81","55","142,804","189,896","75.2","2021-11-24"
"Grahamstown Lake","13","9","176,087","182,401","96.5","2021-11-24"
"Keepit","330","25","419,805","418,936","100.2","2021-11-24"
"Tooma Reservoir","1,191","3","1,092","25,466","4.3","2021-09-24"
"Mardi","34","8","2,799","6,475","43.2","2021-11-24"
"Lake Jindabyne","908","13","321,105","388,990","82.5","2021-11-25"
"Seaham Weir","1","1","2,907","2,409","120.7","2021-11-24"
"Lake Pamamaroo","61","5","305,103","248,795","122.6","2021-11-24"
"Tumut 2","818","4","489","1,501","32.6","2021-09-24"
"Lake Medlow","924","10","98","326","30.1","2021-11-25"
"Torrumbarry Weir","86","3","21,601","21,594","100.0","2021-11-25"
"Warragamba","116","81","2,001,230","2,027,000","98.7","2021-11-25"
"Murray 2 Pondage","584","6","0","1,121","0.0","2021-09-24"
"Cataract","285","32","58,115","97,190","59.8","2021-11-25"
"Talbingo","541","7","116,151","160,280","72.5","2021-09-24"
"Tombullen","129","2","5,491","10,858","50.6","2021-11-24"
"Hume","192","34","2,947,525","3,036,393","97.1","2021-11-24"
"Pindari","516","70","314,840","311,920","100.9","2021-11-24"
"Wingecarribee","677","8","20,441","24,130","84.7","2021-11-25"
"Glennies Creek","179","37","180,631","282,303","64.0","2021-11-24"
"Hay Weir","85","5","7,598","12,300","61.8","2021-11-24"
"Windamere","538","30","138,296","366,989","37.7","2021-11-24"
"Avon","319","18","132,149","146,700","90.1","2021-11-25"
"Greaves Creek","886","12","301","301","100.1","2021-11-25"
"Lake Cawndilla","60","6","597,181","544,972","109.6","2021-11-24"
"Nepean","315","50","61,023","67,730","90.1","2021-11-25"
"Burrendong","349","38","1,465,827","1,156,255","126.8","2021-11-24"
"Chaffey","525","26","102,558","100,509","102.0","2021-11-24"
"Lostock","156","18","20,498","19,736","103.9","2021-11-24"
"Woronora","164","46","54,725","71,790","76.2","2021-11-25"
"Gogeldrie Weir","133","5","4,314","7,191","60.0","2021-11-24"
"Googong","663","39","119,409","119,409","100.0","2021-11-25"
"Burrinjuck","360","47","920,114","1,023,036","89.9","2021-11-24"
"Fitzroy Falls","663","2","8,213","9,950","82.5","2021-11-25"
"Mollee Weir","205","5","3,733","3,200","116.6","2021-11-24"
"Tallowa","57","6","87,108","83,690","104.1","2021-11-25"
"Cordeaux","303","45","87,185","93,640","93.1","2021-11-25"
"Glenbawn","268","67","545,284","748,827","72.8","2021-11-24"
"Tumut Pond","1,150","44","36,814","49,974","73.7","2021-09-24"
"Guthega Pondage","1,577","10","833","1,657","50.2","2021-09-24"
"Toonumbar","130","23","10,639","10,814","98.4","2021-11-24"
"Lake Brewster","","","152,706","153,620","99.4","2021-11-02"
"Brogo","103","19","8,985","8,786","102.3","2021-11-24"
"Khancoban Pondage","299","7","6,617","21,409","30.9","2021-09-24"
"Mooney Mooney","","","2,920","4,526","64.5","2021-11-24"
"Geehi Reservoir","1,089","8","3,442","13,040","26.4","2021-09-24"
"Blowering","378","73","1,565,666","1,609,859","97.3","2021-11-24"
"Maude Weir","76","4","7,716","4,620","167.0","2021-11-24"
"Lake Eucumbene","1,141","25","1,209,428","4,366,900","27.7","2021-11-25"
"Lake Cargelligo","157","2","22,021","30,163","73.0","2021-11-24"
"Tantangara Reservoir","1,214","8","39,888","238,768","16.7","2021-11-25"
"Middle Cascade","953","13","160","167","95.9","2021-11-25"
"Lake Wetherell","62","9","191,515","192,656","99.4","2021-11-24"
"Lake Victoria","27","5","530,146","576,579","91.9","2021-11-25"
"Jounama Pondage","390","10","25,058","31,053","80.7","2021-09-24"
"Berembed Weir","154","5","4,033","3,295","122.4","2021-11-24"
"Yarrawonga Weir","125","3","89,256","95,174","93.8","2021-11-25"
"Copeton","573","69","1,344,669","1,342,908","100.1","2021-11-24"
"Split Rock","440","32","222,633","394,241","56.5","2021-11-24"
"Prospect","60","8","28,734","33,330","86.2","2021-11-24"
"Chichester","156","24","18,638","18,356","101.5","2021-11-24"
"Tareelaroi Weir","217","4","911","2,500","36.4","2021-11-24"
"Island Bend Pondage","1,174","2","183","2,325","7.9","2021-09-24"
"Wyangala","378","64","1,151,769","1,217,035","94.6","2021-11-24"
