"Storage","Water level (mAHD)","Water depth (m)","Volume (ML)","Capacity (ML)","Volume (%)","Reported date"
"Perseverance","433","10","6,563","26,668","24.6","2021-11-23"
"Ben Anderson Barrage","4","4","20,072","23,651","84.9","2021-11-25"
"Clare Weir","20","6","12,818","15,890","80.7","2021-11-25"
"Bedford Weir","123","7","15,887","20,679","76.8","2021-11-25"
"Glenlyon","","","249,238","250,885","99.3","2021-11-21"
"Lake Morris","397","25","32,410","37,119","87.3","2021-11-25"
"Lake Ross","36","11","117,289","231,729","50.6","2021-11-25"
"Chinchilla Weir","296","9","7,539","6,454","116.8","2021-11-25"
"Wappa","45","20","4,719","4,694","100.5","2021-11-25"
"Coolmunda","314","13","70,161","68,845","101.9","2021-11-25"
"Paradise","62","20","161,331","287,250","56.2","2021-11-25"
"Tartrus Weir","82","5","9,704","9,475","102.4","2021-11-25"
"Atkinson","57","2","1,149","30,401","3.8","2021-11-25"
"Moura Weir","106","9","8,959","7,101","126.2","2021-11-25"
"Tinana Barrage","3","3","3,127","2,735","114.3","2021-11-25"
"Bingegang Weir","103","5","6,909","6,810","101.5","2021-11-25"
"Cedar Pocket","101","11","742","735","100.9","2021-11-25"
"Somerset","95","34","234,543","379,849","61.7","2021-11-25"
"Gold Creek","93","18","783","801","97.8","2021-11-25"
"Fitzroy Barrage","4","5","59,701","59,375","100.5","2021-11-23"
"Kolan Barrage","3","2","2,624","2,352","111.6","2021-11-25"
"Fairbairn","194","8","204,185","1,288,867","15.8","2021-11-25"
"Cooby Creek","474","6","3,845","19,577","19.6","2021-11-23"
"Buckinbah Weir","199","4","4,476","4,345","103.0","2021-11-25"
"Leslie Harrison","15","15","12,860","13,206","97.4","2021-11-25"
"Leslie","470","16","73,390","104,127","70.5","2021-11-25"
"Enoggera","75","15","4,401","4,262","103.3","2021-11-25"
"Bucca Weir","16","7","10,826","10,713","101.1","2021-11-25"
"Teemburra","289","24","124,139","139,258","89.1","2021-11-18"
"Theodore Weir","135","8","5,941","4,010","148.2","2021-11-25"
"Bjelke-Petersen","300","11","34,862","134,015","26.0","2021-11-25"
"Gyranda Weir","158","8","18,083","14,468","125.0","2021-11-25"
"Moolabah Weir","201","4","2,266","2,146","105.6","2021-11-25"
"Cressbrook Creek","268","18","29,555","78,850","37.5","2021-11-23"
"Eungella","559","26","83,044","111,243","74.7","2021-11-25"
"Glebe Weir","172","11","23,730","17,300","137.2","2021-11-25"
"Marian Weir","32","5","3,933","3,890","101.1","2021-11-25"
"Julius","224","16","106,171","106,955","99.3","2021-11-25"
"Kroombit","252","1","70","14,599","0.5","2021-11-25"
"Bill Gunn","102","6","839","6,947","12.1","2021-11-25"
"Hinze","93","59","285,787","310,730","92.0","2021-11-25"
"Jack Taylor Weir","194","7","10,116","10,067","100.5","2021-11-25"
"Ewen Maddock","25","10","15,159","16,587","91.4","2021-11-25"
"Burdekin Falls","152","28","1,380,332","1,852,140","74.5","2021-11-25"
"Fred Haigh","66","24","199,414","557,675","35.8","2021-11-25"
"Mary Barrage","4","3","8,684","6,954","124.9","2021-11-25"
"Moogerah","148","23","34,528","83,765","41.2","2021-11-25"
"Lake Boondooma","269","17","64,179","195,841","32.8","2021-11-25"
"Poona","152","8","571","655","87.1","2021-11-25"
"Lake Kurwongbah","20","14","13,732","14,192","96.8","2021-11-25"
"Giru Weir","4","2","779","803","97.1","2021-11-25"
"John Goleby Weir","168","5","1,555","1,532","101.5","2021-11-25"
"Allan Tannock Weir","184","","4,772","4,772","100.0","2021-11-25"
"Moura Offstream Storage","124","5","1,555","2,680","58.0","2021-11-25"
"Wuruma","220","19","61,497","162,979","37.7","2021-11-25"
"Beardmore","207","11","80,311","80,163","100.2","2021-11-25"
"Borumba","134","30","42,042","46,000","91.4","2021-11-25"
"Wivenhoe","58","31","463,966","1,165,238","39.8","2021-11-25"
"Baroon Pocket","213","38","48,537","61,000","79.6","2021-11-25"
"Kirar Weir","153","11","9,781","9,529","102.6","2021-11-25"
"Kinchant","56","12","49,838","62,199","80.1","2021-11-25"
"Lake Paluma","892","11","7,439","11,416","65.2","2021-11-23"
"Peter Faust","80","27","272,525","490,434","55.6","2021-11-25"
"Cania","318","18","21,758","87,935","24.7","2021-11-25"
"Clarendon","84","2","61","24,276","0.3","2021-11-25"
"Neville Hewitt Weir","82","9","15,037","10,658","141.1","2021-11-25"
"Mirani Weir","45","5","2,449","4,253","57.6","2021-11-25"
"Kelly's Offstream Storage","74","9","1,001","1,146","87.4","2021-11-25"
"Tinaroo Falls","667","29","312,716","437,620","71.5","2021-11-25"
"Lake Manchester","49","29","21,965","26,217","83.8","2021-11-25"
"Claude Wharton Weir","93","7","8,712","12,714","68.5","2021-11-25"
"Lake MacDonald","95","8","6,802","8,018","84.8","2021-11-25"
"North Pine","35","30","127,132","214,302","59.3","2021-11-25"
"Callide","203","10","27,885","136,280","20.5","2021-11-25"
"Ned Churchward Weir","19","9","28,536","26,911","106.0","2021-11-25"
"Little Nerang","165","42","5,261","6,705","78.5","2021-11-25"
"Maroon","207","29","44,459","44,319","100.3","2021-11-25"
"Mount Morgan No. 7","239","2","149","2,896","5.1","2021-11-23"
"Lake Awoonga","32","8","250,468","661,853","37.8","2021-11-21"
"Cooloolabin","291","9","4,579","8,183","56.0","2021-11-25"
