"Storage","Water level (mAHD)","Water depth (m)","Volume (ML)","Capacity (ML)","Volume (%)","Reported date"
"Myponga","211","31","26,677","27,301","97.7","2021-11-25"
"Barossa","219","23","3,962","4,366","90.8","2021-11-25"
"Happy Valley","143","8","6,111","9,260","66.0","2021-11-25"
"Lake Albert","","","280,824","279,583","100.4","2021-11-16"
"Lock 4 - Bookpurnong","13","4","21,116","20,586","102.6","2021-11-25"
"Lock 2 - Waikerie","6","3","27,250","26,947","101.1","2021-11-25"
"Lock 3 - Overland Corner","10","4","37,232","36,932","100.8","2021-11-25"
"Hope Valley","102","9","1,351","1,670","80.9","2021-11-25"
"Lake Alexandrina","","","1,674,735","1,644,884","101.8","2021-11-20"
"Little Para","141","32","10,326","20,314","50.8","2021-11-25"
"Mount Bold","243","34","35,358","46,388","76.2","2021-11-25"
"South Para","251","24","29,018","44,526","65.2","2021-11-25"
"Kangaroo Creek","227","28","10,076","18,664","54.0","2021-11-25"
"Lock 5 - Renmark","","","25,124","23,042","109.0","2021-11-25"
"Warren","385","10","4,767","4,730","100.8","2021-11-25"
"Millbrook","301","20","11,626","15,277","76.1","2021-11-25"
"Lock 1 - Blanchetown","3","3","28,482","27,920","102.0","2021-11-25"
