"Storage","Water level (mAHD)","Water depth (m)","Volume (ML)","Capacity (ML)","Volume (%)","Reported date"
"Pykes Creek Reservoir","397","18","20,369","20,349","100.1","2021-11-25"
"Lauriston","479","22","19,180","19,790","96.9","2021-11-18"
"Lal Lal","","","","59,056","0.0","null"
"Melton Reservoir","83","15","14,304","14,202","100.7","2021-11-25"
"Lake Lonsdale","185","2","11,522","51,300","22.5","2021-11-23"
"Tullaroop Reservoir","220","12","47,267","65,950","71.7","2021-11-25"
"Dock Lake","130","-1","0","4,430","0.0","2015-12-16"
"McCall Say Reservoir","466","14","1,125","1,125","100.0","2021-11-19"
"Wilsons","","","","1,011","0.0","null"
"West Gellibrand Reservoir","342","16","1,855","1,859","99.8","2021-11-24"
"Upper Stony Creek No. 1","355","18","2,538","3,443","73.7","2021-11-24"
"White Swan","535","26","12,373","13,880","89.1","2021-11-24"
"Lake Eppalock","189","26","175,772","303,627","57.9","2021-11-25"
"Upper Stony Creek No. 2","363","5","1,976","2,345","84.3","2021-11-24"
"Devilbend","68","11","8,894","14,600","60.9","2021-11-24"
"Lake Nillahcootie","265","16","40,085","39,961","100.3","2021-11-25"
"Nil Gully Reservoir","288","6","276","276","100.0","2021-11-12"
"Greens Lake","98","1","1,568","27,989","5.6","2021-11-25"
"Torrumbarry Weir","86","3","21,601","21,594","100.0","2021-11-25"
"Greenvale","166","27","25,525","26,839","95.1","2021-11-24"
"Upper Stony Creek No. 3","360","5","2,542","3,706","68.6","2021-11-24"
"Loombah Reservoir","343","12","611","612","99.8","2021-11-19"
"Lake Buffalo","264","9","17,614","19,718","89.3","2021-11-25"
"Wartook Reservoir","441","4","20,160","26,300","76.7","2021-11-23"
"Lake Fyans","203","4","12,886","17,450","73.8","2021-11-23"
"Rocklands Reservoir","190","8","93,396","293,000","31.9","2021-11-23"
"Gong Gong","514","19","1,819","1,605","113.3","2021-11-24"
"Taylors Lake","144","6","20,635","24,060","85.8","2021-11-23"
"Lake Eildon","286","48","2,810,931","3,249,914","86.5","2021-11-25"
"Malmsbury","448","13","12,205","12,034","101.4","2021-11-18"
"Hume","192","34","2,947,525","3,036,393","97.1","2021-11-24"
"Moorabool","605","10","5,979","6,691","89.4","2021-11-24"
"Moora Moora Reservoir","220","2","5,220","5,300","98.5","2021-11-23"
"Newlyn Reservoir","532","7","2,879","2,902","99.2","2021-11-25"
"Lake William Hovell","408","19","12,919","12,750","101.3","2021-11-25"
"Merrimu Reservoir","172","25","26,327","32,181","81.8","2021-11-25"
"McCay","408","16","1,323","1,351","97.9","2021-11-18"
"Maroondah","140","16","22,199","22,179","100.1","2021-11-24"
"Lake Glenmaggie","76","16","158,280","172,771","91.6","2021-11-25"
"Bostock Reservoir","494","16","7,246","7,360","98.5","2021-11-24"
"Pine Lake","23","-104","0","62,380","0.0","2019-10-01"
"Tarago","158","26","37,913","37,576","100.9","2021-11-24"
"Thomson","448","88","956,701","1,068,000","89.6","2021-11-24"
"Cardinia","163","52","238,885","286,911","83.3","2021-11-24"
"Lake Kerferd","645","10","786","786","100.0","2021-11-12"
"Waranga Basin","121","6","294,450","305,825","96.3","2021-11-25"
"Dartmouth","477","112","3,209,310","3,785,232","84.8","2021-11-25"
"Upper Yarra","364","56","180,482","200,579","90.0","2021-11-24"
"Blue Rock Lake","140","52","199,291","197,575","100.9","2021-11-25"
"Sugarloaf","177","53","90,784","96,253","94.3","2021-11-24"
"Toolondo Reservoir","155","1","3,616","50,530","7.2","2021-11-23"
"Sandhurst","336","13","2,306","2,405","95.9","2021-11-18"
"Spring Gully","270","9","1,145","1,676","68.3","2021-11-18"
"Korweinguboora Reservoir","584","8","2,319","2,327","99.6","2021-11-24"
"Barkers Creek","364","9","1,633","1,673","97.6","2021-11-18"
"O'Shannassy","","","3,160","3,123","101.2","2021-11-24"
"Silvan","245","30","35,935","40,445","88.8","2021-11-24"
"Lake Bellfield","272","27","59,388","77,560","76.6","2021-11-23"
"Green Lake","135","3","3,640","5,350","68.0","2021-11-23"
"Rosslynne Reservoir","446","20","16,290","25,218","64.6","2021-11-25"
"Cairn Curran Reservoir","206","21","95,476","142,390","67.1","2021-11-25"
"Yarrawonga Weir","125","3","89,256","95,174","93.8","2021-11-25"
"Evansford","342","10","1,270","1,303","97.4","2021-11-24"
"West Barwon Reservoir","193","22","21,504","21,504","100.0","2021-11-24"
"Laanecoorie Reservoir","159","3","2,724","7,500","36.3","2021-11-25"
"Lake Batyo Catyo","120","0","0","2,250","0.0","2015-12-16"
"Yan Yean","183","7","30,423","30,266","100.5","2021-11-24"
"Lake Narracan","47","5","4,788","7,180","66.7","2021-11-25"
"Upper Coliban","506","22","37,820","37,680","100.4","2021-11-18"
"Wurdee Boluc Reservoir","12","-118","37,950","38,056","99.7","2021-11-24"
"Goulburn Weir","124","0","22,399","23,026","97.3","2021-11-25"
